bill_no,date,customer_id,product_id,quantity,selling_price,discount,gst,total_amount,payment_mode,purchase_price,profit,year,month,quarter,day
BILL000001,2025-12-19,204,132,3,296,0,44.4,932.4,Cash,208,264,2025,December,4,Friday
BILL000002,2025-11-19,592,89,5,305,0,274.5,1799.5,Cash,235,350,2025,November,4,Wednesday
BILL000003,2025-03-08,630,164,3,144,50,21.6,403.6,Card,100,132,2025,March,1,Saturday
BILL000004,2025-02-11,23,162,5,335,30,301.5,1946.5,Card,299,180,2025,February,1,Tuesday
BILL000005,2025-10-22,174,239,3,254,0,0.0,762.0,Cash,187,201,2025,October,4,Wednesday
BILL000006,2025-06-12,674,59,5,404,30,101.0,2091.0,Cash,256,740,2025,June,2,Thursday
BILL000007,2025-09-21,174,91,1,304,50,15.2,269.2,Card,249,55,2025,September,3,Sunday
BILL000008,2025-02-21,121,172,4,238,50,47.6,949.6,Cash,134,416,2025,February,1,Friday
BILL000009,2025-12-08,320,219,5,450,50,112.5,2312.5,Card,318,660,2025,December,4,Monday
BILL000010,2025-06-13,316,207,5,249,50,62.25,1257.25,UPI,133,580,2025,June,2,Friday
BILL000011,2025-04-30,95,184,5,332,0,83.0,1743.0,UPI,249,415,2025,April,2,Wednesday
BILL000012,2025-06-30,507,100,5,345,20,0.0,1705.0,Card,238,535,2025,June,2,Monday
BILL000013,2025-05-17,68,179,1,125,30,15.0,110.0,Card,87,38,2025,May,2,Saturday
BILL000014,2025-08-03,217,1,2,125,0,0.0,250.0,Card,77,96,2025,August,3,Sunday
BILL000015,2025-07-22,363,15,3,372,50,133.92,1199.92,Cash,296,228,2025,July,3,Tuesday
BILL000016,2025-06-03,236,235,2,183,50,18.3,334.3,Card,91,184,2025,June,2,Tuesday
BILL000017,2025-05-10,993,236,5,253,10,227.7,1482.7,UPI,136,585,2025,May,2,Saturday
BILL000018,2025-07-12,546,164,1,144,0,7.2,151.2,Card,100,44,2025,July,3,Saturday
BILL000019,2025-07-31,435,191,1,358,0,0.0,358.0,Cash,214,144,2025,July,3,Thursday
BILL000020,2025-04-05,65,69,3,277,20,41.55,852.55,UPI,223,162,2025,April,2,Saturday
BILL000021,2025-03-03,891,146,1,113,0,0.0,113.0,Cash,38,75,2025,March,1,Monday
BILL000022,2025-07-25,68,65,5,124,50,74.4,644.4,Cash,25,495,2025,July,3,Friday
BILL000023,2025-08-20,501,74,2,483,50,48.3,964.3,Card,345,276,2025,August,3,Wednesday
BILL000024,2025-08-04,157,134,2,242,10,58.08,532.08,Card,136,212,2025,August,3,Monday
BILL000025,2025-12-17,462,26,5,445,20,0.0,2205.0,Card,392,265,2025,December,4,Wednesday
BILL000026,2025-12-08,228,230,4,333,20,239.76,1551.76,UPI,276,228,2025,December,4,Monday
BILL000027,2025-01-07,221,86,3,271,20,97.56,890.56,Card,132,417,2025,January,1,Tuesday
BILL000028,2025-09-10,529,15,5,372,0,223.2,2083.2,Card,296,380,2025,September,3,Wednesday
BILL000029,2025-11-27,818,74,1,483,10,24.15,497.15,Cash,345,138,2025,November,4,Thursday
BILL000030,2025-04-10,360,185,2,436,0,0.0,872.0,Cash,325,222,2025,April,2,Thursday
BILL000031,2025-02-02,924,113,5,185,30,46.25,941.25,Card,100,425,2025,February,1,Sunday
BILL000032,2025-05-02,722,133,5,270,50,0.0,1300.0,UPI,197,365,2025,May,2,Friday
BILL000033,2025-07-25,311,97,1,473,50,85.14,508.14,Cash,399,74,2025,July,3,Friday
BILL000034,2025-09-02,589,108,5,423,30,105.75,2190.75,UPI,277,730,2025,September,3,Tuesday
BILL000035,2025-04-13,819,197,2,410,0,98.4,918.4,UPI,288,244,2025,April,2,Sunday
BILL000036,2025-07-09,5,188,2,477,30,171.72,1095.72,UPI,348,258,2025,July,3,Wednesday
BILL000037,2025-02-01,737,166,5,408,20,0.0,2020.0,Card,388,100,2025,February,1,Saturday
BILL000038,2025-09-21,533,128,1,347,20,62.46,389.46,Card,261,86,2025,September,3,Sunday
BILL000039,2025-07-01,654,158,5,181,20,0.0,885.0,Card,122,295,2025,July,3,Tuesday
BILL000040,2025-08-01,437,108,3,423,10,63.45,1322.45,UPI,277,438,2025,August,3,Friday
BILL000041,2025-07-19,434,130,3,158,50,0.0,424.0,Card,105,159,2025,July,3,Saturday
BILL000042,2025-06-17,128,38,5,479,20,119.75,2494.75,UPI,376,515,2025,June,2,Tuesday
BILL000043,2025-05-24,458,151,3,304,10,164.16,1066.16,UPI,174,390,2025,May,2,Saturday
BILL000044,2025-04-14,387,90,1,423,0,76.14,499.14,Card,327,96,2025,April,2,Monday
BILL000045,2025-02-02,366,38,3,479,50,71.85,1458.85,UPI,376,309,2025,February,1,Sunday
BILL000046,2025-09-15,602,233,5,275,0,165.0,1540.0,Cash,215,300,2025,September,3,Monday
BILL000047,2025-12-29,819,53,5,499,20,124.75,2599.75,Card,399,500,2025,December,4,Monday
BILL000048,2025-05-27,801,177,1,410,30,0.0,380.0,UPI,305,105,2025,May,2,Tuesday
BILL000049,2025-06-22,975,161,4,156,20,0.0,604.0,Cash,41,460,2025,June,2,Sunday
BILL000050,2025-03-23,963,178,4,179,20,128.88,824.88,Card,70,436,2025,March,1,Sunday
BILL000051,2025-05-21,27,31,4,178,20,35.6,727.6,UPI,110,272,2025,May,2,Wednesday
BILL000052,2025-02-08,374,111,2,132,0,47.52,311.52,Card,36,192,2025,February,1,Saturday
BILL000053,2025-07-08,543,20,5,212,50,190.8,1200.8,Cash,142,350,2025,July,3,Tuesday
BILL000054,2025-11-23,942,127,3,403,0,60.45,1269.45,Card,278,375,2025,November,4,Sunday
BILL000055,2025-01-30,588,56,3,382,20,57.3,1183.3,UPI,233,447,2025,January,1,Thursday
BILL000056,2025-07-17,240,127,1,403,50,20.15,373.15,Card,278,125,2025,July,3,Thursday
BILL000057,2025-08-01,777,10,2,369,20,88.56,806.56,Card,242,254,2025,August,3,Friday
BILL000058,2025-10-10,929,160,2,283,10,101.88,657.88,Cash,257,52,2025,October,4,Friday
BILL000059,2025-03-14,954,96,1,95,30,0.0,65.0,UPI,20,75,2025,March,1,Friday
BILL000060,2025-06-12,501,94,4,188,0,135.36,887.36,Cash,129,236,2025,June,2,Thursday
BILL000061,2025-06-07,423,210,1,319,0,57.42,376.42,Card,269,50,2025,June,2,Saturday
BILL000062,2025-05-15,678,69,3,277,0,41.55,872.55,UPI,223,162,2025,May,2,Thursday
BILL000063,2025-04-05,285,144,5,278,10,0.0,1380.0,Cash,182,480,2025,April,2,Saturday
BILL000064,2025-08-23,853,200,1,116,50,20.88,86.88,Card,77,39,2025,August,3,Saturday
BILL000065,2025-05-23,808,26,1,445,50,0.0,395.0,Cash,392,53,2025,May,2,Friday
BILL000066,2025-10-02,310,59,3,404,0,60.6,1272.6,UPI,256,444,2025,October,4,Thursday
BILL000067,2025-02-28,314,41,5,391,30,97.75,2022.75,Cash,323,340,2025,February,1,Friday
BILL000068,2025-09-11,337,229,4,370,30,74.0,1524.0,Cash,230,560,2025,September,3,Thursday
BILL000069,2025-03-08,250,183,1,513,20,61.56,554.56,Card,395,118,2025,March,1,Saturday
BILL000070,2025-11-01,572,101,5,501,10,450.9,2945.9,UPI,384,585,2025,November,4,Saturday
