bill_no,date,customer_id,product_id,quantity,selling_price,discount,gst,total_amount,payment_mode
BILL000001,2025-12-19,204,132,3,296,0,44.4,932.4,Cash
BILL000002,2025-11-19,592,89,5,305,0,274.5,1799.5,Cash
BILL000003,2025-03-08,630,164,3,144,50,21.6,403.6,Card
BILL000004,2025-02-11,23,162,5,335,30,301.5,1946.5,Card
BILL000005,2025-10-22,174,239,3,254,0,0.0,762.0,Cash
BILL000006,2025-06-12,674,59,5,404,30,101.0,2091.0,Cash
BILL000007,2025-09-21,174,91,1,304,50,15.2,269.2,Card
BILL000008,2025-02-21,121,172,4,238,50,47.6,949.6,Cash
BILL000009,2025-12-08,320,219,5,450,50,112.5,2312.5,Card
BILL000010,2025-06-13,316,207,5,249,50,62.25,1257.25,UPI
BILL000011,2025-04-30,95,184,5,332,0,83.0,1743.0,UPI
BILL000012,2025-06-30,507,100,5,345,20,0.0,1705.0,Card
BILL000013,2025-05-17,68,179,1,125,30,15.0,110.0,Card
BILL000014,2025-08-03,217,1,2,125,0,0.0,250.0,Card
BILL000015,2025-07-22,363,15,3,372,50,133.92,1199.92,Cash
BILL000016,2025-06-03,236,235,2,183,50,18.3,334.3,Card
BILL000017,2025-05-10,993,236,5,253,10,227.7,1482.7,UPI
BILL000018,2025-07-12,546,164,1,144,0,7.2,151.2,Card
BILL000019,2025-07-31,435,191,1,358,0,0.0,358.0,Cash
BILL000020,2025-04-05,65,69,3,277,20,41.55,852.55,UPI
BILL000021,2025-03-03,891,146,1,113,0,0.0,113.0,Cash
BILL000022,2025-07-25,68,65,5,124,50,74.4,644.4,Cash
BILL000023,2025-08-20,501,74,2,483,50,48.3,964.3,Card
BILL000024,2025-08-04,157,134,2,242,10,58.08,532.08,Card
BILL000025,2025-12-17,462,26,5,445,20,0.0,2205.0,Card
BILL000026,2025-12-08,228,230,4,333,20,239.76,1551.76,UPI
BILL000027,2025-01-07,221,86,3,271,20,97.56,890.56,Card
BILL000028,2025-09-10,529,15,5,372,0,223.2,2083.2,Card
BILL000029,2025-11-27,818,74,1,483,10,24.15,497.15,Cash
BILL000030,2025-04-10,360,185,2,436,0,0.0,872.0,Cash
BILL000031,2025-02-02,924,113,5,185,30,46.25,941.25,Card
BILL000032,2025-05-02,722,133,5,270,50,0.0,1300.0,UPI
BILL000033,2025-07-25,311,97,1,473,50,85.14,508.14,Cash
BILL000034,2025-09-02,589,108,5,423,30,105.75,2190.75,UPI
BILL000035,2025-04-13,819,197,2,410,0,98.4,918.4,UPI
BILL000036,2025-07-09,5,188,2,477,30,171.72,1095.72,UPI
BILL000037,2025-02-01,737,166,5,408,20,0.0,2020.0,Card
BILL000038,2025-09-21,533,128,1,347,20,62.46,389.46,Card
BILL000039,2025-07-01,654,158,5,181,20,0.0,885.0,Card
BILL000040,2025-08-01,437,108,3,423,10,63.45,1322.45,UPI
BILL000041,2025-07-19,434,130,3,158,50,0.0,424.0,Card
BILL000042,2025-06-17,128,38,5,479,20,119.75,2494.75,UPI
BILL000043,2025-05-24,458,151,3,304,10,164.16,1066.16,UPI
BILL000044,2025-04-14,387,90,1,423,0,76.14,499.14,Card
BILL000045,2025-02-02,366,38,3,479,50,71.85,1458.85,UPI
BILL000046,2025-09-15,602,233,5,275,0,165.0,1540.0,Cash
BILL000047,2025-12-29,819,53,5,499,20,124.75,2599.75,Card
BILL000048,2025-05-27,801,177,1,410,30,0.0,380.0,UPI
BILL000049,2025-06-22,975,161,4,156,20,0.0,604.0,Cash
BILL000050,2025-03-23,963,178,4,179,20,128.88,824.88,Card
BILL000051,2025-05-21,27,31,4,178,20,35.6,727.6,UPI
BILL000052,2025-02-08,374,111,2,132,0,47.52,311.52,Card
BILL000053,2025-07-08,543,20,5,212,50,190.8,1200.8,Cash
BILL000054,2025-11-23,942,127,3,403,0,60.45,1269.45,Card
BILL000055,2025-01-30,588,56,3,382,20,57.3,1183.3,UPI
BILL000056,2025-07-17,240,127,1,403,50,20.15,373.15,Card
BILL000057,2025-08-01,777,10,2,369,20,88.56,806.56,Card
BILL000058,2025-10-10,929,160,2,283,10,101.88,657.88,Cash
BILL000059,2025-03-14,954,96,1,95,30,0.0,65.0,UPI
BILL000060,2025-06-12,501,94,4,188,0,135.36,887.36,Cash
BILL000061,2025-06-07,423,210,1,319,0,57.42,376.42,Card
BILL000062,2025-05-15,678,69,3,277,0,41.55,872.55,UPI
BILL000063,2025-04-05,285,144,5,278,10,0.0,1380.0,Cash
BILL000064,2025-08-23,853,200,1,116,50,20.88,86.88,Card
BILL000065,2025-05-23,808,26,1,445,50,0.0,395.0,Cash
BILL000066,2025-10-02,310,59,3,404,0,60.6,1272.6,UPI
BILL000067,2025-02-28,314,41,5,391,30,97.75,2022.75,Cash
BILL000068,2025-09-11,337,229,4,370,30,74.0,1524.0,Cash
BILL000069,2025-03-08,250,183,1,513,20,61.56,554.56,Card
BILL000070,2025-11-01,572,101,5,501,10,450.9,2945.9,UPI
BILL000071,2025-12-23,86,48,3,423,20,152.28,1401.28,Card
BILL000072,2025-08-11,940,185,3,436,20,0.0,1288.0,UPI
BILL000073,2025-05-01,678,42,2,171,20,0.0,322.0,Cash
BILL000074,2025-04-04,398,90,5,423,50,380.7,2445.7,Cash
BILL000075,2025-03-28,375,29,1,81,50,9.72,40.72,Cash
BILL000076,2025-12-15,702,201,3,501,0,75.15,1578.15,Card
BILL000077,2025-02-24,685,33,3,395,50,0.0,1135.0,Card
BILL000078,2025-12-05,868,182,4,138,30,27.6,549.6,Card
BILL000079,2025-08-26,639,166,5,408,50,0.0,1990.0,Cash
BILL000080,2025-06-25,562,155,5,281,50,252.9,1607.9,Cash
BILL000081,2025-09-24,671,32,5,325,50,195.0,1770.0,Card
BILL000082,2025-03-25,916,9,5,383,30,95.75,1980.75,Card
BILL000083,2025-04-14,409,131,4,153,10,0.0,602.0,Card
BILL000084,2025-08-15,448,91,4,304,30,60.8,1246.8,Card
BILL000085,2025-06-27,687,206,1,440,10,0.0,430.0,Cash
BILL000086,2025-09-01,268,108,1,423,10,21.15,434.15,Card
BILL000087,2025-02-26,674,118,5,405,30,0.0,1995.0,Cash
BILL000088,2025-08-01,675,188,5,477,30,429.3,2784.3,Cash
BILL000089,2025-11-09,367,219,3,450,10,67.5,1407.5,UPI
BILL000090,2025-04-05,463,162,5,335,50,301.5,1926.5,Cash
BILL000091,2025-12-19,966,229,5,370,30,92.5,1912.5,Card
BILL000092,2025-01-15,408,174,4,383,30,275.76,1777.76,UPI
BILL000093,2025-08-03,163,94,3,188,30,101.52,635.52,Card
BILL000094,2025-02-02,766,184,5,332,20,83.0,1723.0,UPI
BILL000095,2025-03-01,585,240,5,127,20,114.3,729.3,UPI
BILL000096,2025-07-28,279,109,2,379,20,136.44,874.44,UPI
BILL000097,2025-07-28,538,109,1,379,30,68.22,417.22,Cash
BILL000098,2025-01-29,379,170,4,184,0,36.8,772.8,UPI
BILL000099,2025-09-02,109,136,3,64,20,9.6,181.6,Card
BILL000100,2025-01-24,88,97,1,473,20,85.14,538.14,Card
BILL000101,2025-04-13,293,189,2,211,30,75.96,467.96,Card
BILL000102,2025-05-20,698,10,3,369,30,132.84,1209.84,UPI
BILL000103,2025-02-23,771,54,4,218,50,104.64,926.64,UPI
BILL000104,2025-05-19,734,202,3,202,0,109.08,715.08,Card
BILL000105,2025-10-22,51,104,3,409,0,147.24,1374.24,Card
BILL000106,2025-05-01,157,31,5,178,30,44.5,904.5,Cash
BILL000107,2025-09-24,988,176,3,341,30,51.15,1044.15,UPI
BILL000108,2025-10-17,67,104,3,409,0,147.24,1374.24,UPI
BILL000109,2025-01-17,666,171,1,162,30,29.16,161.16,UPI
BILL000110,2025-11-28,730,195,5,337,30,0.0,1655.0,UPI
BILL000111,2025-03-11,686,171,2,162,20,58.32,362.32,UPI
BILL000112,2025-02-24,983,34,5,311,0,186.6,1741.6,Cash
BILL000113,2025-10-10,817,101,5,501,10,450.9,2945.9,UPI
BILL000114,2025-06-01,44,29,1,81,0,9.72,90.72,Cash
BILL000115,2025-09-14,520,153,1,315,20,37.8,332.8,Cash
BILL000116,2025-04-23,513,106,4,336,50,241.92,1535.92,Card
BILL000117,2025-09-03,744,210,1,319,10,57.42,366.42,UPI
BILL000118,2025-01-10,628,213,5,109,30,0.0,515.0,Card
BILL000119,2025-11-07,839,50,5,117,30,70.2,625.2,Cash
BILL000120,2025-03-05,373,138,5,451,20,112.75,2347.75,UPI
BILL000121,2025-08-20,107,1,5,125,10,0.0,615.0,UPI
BILL000122,2025-05-26,914,122,3,257,20,38.55,789.55,Cash
BILL000123,2025-11-22,216,221,1,167,0,30.06,197.06,Cash
BILL000124,2025-10-25,694,140,3,409,10,147.24,1364.24,Card
BILL000125,2025-04-11,477,200,5,116,0,104.4,684.4,Card
BILL000126,2025-05-23,185,220,4,164,30,32.8,658.8,Card
BILL000127,2025-09-23,835,13,4,275,10,0.0,1090.0,Card
BILL000128,2025-02-27,991,101,4,501,20,360.72,2344.72,UPI
BILL000129,2025-07-25,474,155,2,281,50,101.16,613.16,Card
BILL000130,2025-11-09,835,124,4,414,30,0.0,1626.0,Cash
BILL000131,2025-02-16,945,96,4,95,20,0.0,360.0,Card
BILL000132,2025-01-20,964,147,5,293,0,73.25,1538.25,Card
